SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
89,1.03374526441788,0.975510822462869,35.0823209422096,0.11525637534595,0.115252663197424,3.71214852634694e-06,3.71215021743865e-06,0.118906355039627,0.11890270664022,1
90,0.972905537772143,1.02651989433924,33.1346944090216,0.0244104875763611,0.0244065696690186,3.91790734255437e-06,3.91797921395209e-06,0.0319171212771749,0.0319135580904444,1
91,0.98746758769478,1.03387994298543,34.2146788617934,0.037846450107736,0.0378463040761119,1.46031624126408e-07,1.46049004001725e-07,0.0438164524299083,0.0438165528856658,1
92,1.04959031379487,0.959577575379971,35.7551131085765,0.156195706156026,0.156194580368023,1.12578800326446e-06,1.12583906286545e-06,0.159838675917676,0.159840110037138,1
93,0.969367202623717,0.997489287864085,33.0957761699109,0.0347169744825777,0.0347158412193096,1.13326326811602e-06,1.13329147666263e-06,0.0431042574666733,0.0431009802950726,1
94,0.974794084926347,0.963861398895648,36.4681965900043,0.125759529728398,0.125758266934362,1.26279403644958e-06,1.26508237485723e-06,0.116228189081063,0.116226948292301,1
95,0.984543645089301,1.02000020609084,36.4601955043139,0.0876861342137332,0.0876859576627851,1.76550948083332e-07,1.76601773205221e-07,0.0739117383354539,0.0739118245804065,1
96,1.00124210418597,1.02839791034094,35.2610077291269,0.0605065171877257,0.0605049811177807,1.53606994501843e-06,1.53616819886793e-06,0.0653338830223831,0.0653340935506108,1
97,0.976830602519813,0.970781446713244,34.250391743735,0.0748783671319089,0.0748795966429086,-1.2295109996785e-06,1.2296029439085e-06,0.0803202380320229,0.080320402747887,1
98,0.952616238818881,1.03342694075001,33.1756842773237,0.0184079286923193,0.0184060042445751,1.92444774427258e-06,1.92453926217695e-06,0.0250314981619439,0.02502955595331,1
99,1.04836660507541,0.971466572573986,37.2109008227445,0.180571163691297,0.180570447599052,7.16092245056643e-07,7.16236485232002e-07,0.159819681043494,0.159817903147314,1
100,0.960765350351519,0.968262430616614,32.7076633524633,0.0397857147458609,0.0397878314322568,-2.11668639593654e-06,2.11676916705983e-06,0.047499902753259,0.0475017202851902,1
